time,open,high,low,close,Volume,Volume MA
1388534400,23.809177,31.334934,2.644192,2.75191,5686352.38874921,NaN
1420070400,2.751996,9.141758,1.115979,3.472308,11657797.87930802,NaN
1451606400,3.473522,5.962753,2.890662,4.359669,7384971.7517202,NaN
1483228800,4.359556,372.636778,1.177801,226.657423,32194227.66474224,NaN
1514764800,226.630095,313.572562,22.158822,29.871132,69536980.73375703,NaN
1546300800,29.875601,146.93498331,29.266161,41.14614887,83770414.42725976,NaN
1577836800,41.11937545,139.61296913,24.35112818,124.44206304,91588143.82290834,NaN
1609459200,124.45331588,413.6586475,103.79609365,146.148534,112504320.16625051,NaN
1640995200,146.167734,153.938733,40.255486,70.079059,45325115.05652474,NaN
1672531200,70.083766,116.050384,55.79407,72.835621,26289298.112,NaN
1704067200,72.779162,73.190938,72.779162,73.018162,301.812,NaN
