time,open,high,low,close,Range Filter,High Target,Low Target,upward,BBWP,Extreme Hi,Extreme Lo,MA 1,MA 2
1254700800,0.00076392,0.00120045,0.00076392,0.00115338,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1255305600,0.00110205,0.00124491,0.00110205,0.00122546,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1255910400,0.00124799,0.00128808,0.00121062,0.00128808,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1256515200,0.00126622,0.00128455,0.00121911,0.00121911,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1257120000,0.00125614,0.00130618,0.00125614,0.00126048,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1257724800,0.00126048,0.00135534,0.00123576,0.00123576,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1258329600,0.00118912,0.00118912,0.00105922,0.00105922,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1258934400,0.00100038,0.00100038,0.00082926,0.00082926,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1259539200,0.00082384,0.00082384,0.00073284,0.00073284,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1260144000,0.00071822,0.00071822,0.00061788,0.00061788,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1260748800,0.00061487,0.00063024,0.00061337,0.0006271,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1261353600,0.0006271,0.0006334,0.0006271,0.0006334,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1261958400,0.0006334,0.00071822,0.0006334,0.00071822,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1262563200,0.00071822,0.00071822,0.00071822,0.00071822,NaN,NaN,NaN,0,100,100,NaN,NaN,NaN
1263168000,0.00071822,0.00283078,0.00071822,0.00280002,NaN,NaN,NaN,0,100,100,NaN,NaN,NaN
1263772800,0.00294594,0.00325203,0.00273583,0.00325203,NaN,NaN,NaN,0,100,100,NaN,NaN,NaN
