time,open,high,low,close,Volume
1388361600,23.809177,27.172594,23.502599,26.361153,55234.77182143
1388966400,26.352752,31.334934,22.386846,24.072684,114613.64708902
1389571200,24.072684,25.049721,22.406734,24.358126,53625.2229573
1390176000,24.36104,24.662823,19.260695,22.167194,40498.03254048
1390780800,22.159615,22.774535,18.95024,22.08382,54589.3621494
1391385600,22.08382,22.182502,15.958676,18.641256,108902.89293943
1391990400,18.641256,18.851718,12.191906,15.758375,240100.80884265
1392595200,15.758375,16.710127,13.416473,15.511764,118885.03697246
1393200000,15.511764,15.519624,10.63652,13.00248,196701.96818251
1393804800,13.016925,18.829925,12.339372,16.074429,131747.10107941
1394409600,16.127801,17.522686,15.577715,17.404145,39334.17025789
1395014400,17.37665,20.909194,15.122854,15.244672,57789.11902626
1395619200,15.241623,16.874166,12.378998,13.174317,133278
1396224000,13.116593,13.920054,10.297565,11.656178,97847.2339051
1396828800,11.649064,11.930634,8.0173,10.456395,124145.72242922
1397433600,10.446389,14.672455,10.000772,12.729994,128341
1398038400,12.740285,13.104318,9.755622,9.811297,72798
1398643200,9.811297,11.215917,9.718236,10.319745,41943
1399248000,10.403878,11.109448,9.819398,10.329785,49789
1399852800,10.288982,10.616991,10.215136,10.402811,19204
1400457600,10.402811,12.111999,10.292531,11.639369,105432
1401062400,11.639369,11.9318,10.759182,11.088574,86998
1401667200,11.088574,11.866861,10.820423,11.30204,100001
1402272000,11.30204,11.470199,9.015181,10.011204,113386
1402876800,10.006484,10.157985,9.566869,9.797889,55672
1403481600,9.797889,10.953293,8.88657,8.975977,46405
1404086400,8.969267,9.27761,6.854602,7.142289,39200
1404691200,7.146547,9.13441,6.995487,8.947571,30820
1405296000,8.947571,8.95482,8.302717,8.48328,26337
1405900800,8.48328,9.274516,7.444666,7.726412,30062
1406505600,7.725759,7.780472,7.152645,7.539903,42759
1407110400,7.539775,7.563976,6.819538,6.933649,27790
1407715200,6.933649,6.933649,4.203397,4.446199,128810
1408320000,4.447719,6.201889,3.579407,5.443502,143081
1408924800,5.447552,5.875017,4.774374,4.88642,59795
1409529600,4.90916,5.349407,4.587488,5.124543,37083
1410134400,5.124543,5.516318,4.921434,5.38912,57141
1410739200,5.396132,5.447712,4.112022,4.231866,147856
1411344000,4.232078,4.939606,4.079714,4.23279,116981
1411948800,4.224137,4.645254,3.184555,3.67741,199223
1412553600,3.67741,4.195173,3.483563,3.856299,248174
1413158400,3.856299,4.231999,3.766666,3.976274,183870
1413763200,3.976889,3.999772,3.539603,3.717725,146349
1414368000,3.718357,3.890327,3.42648,3.562182,161397.82351677
1414972800,3.562402,3.715435,3.499839,3.631902,152573.47503988
1415577600,3.631802,4.524261,3.58443,3.931383,419915
1416182400,3.932888,4.058985,3.423324,3.601426,191786
1416787200,3.598981,3.79087,3.462148,3.594591,164526
1417392000,3.594591,3.780577,3.562316,3.721086,86011
1417996800,3.723758,3.790833,3.386139,3.508583,135539
1418601600,3.509079,3.511732,2.704388,2.85283,190843
1419206400,2.856388,2.98819,2.661376,2.733953,99489
1419811200,2.734125,2.758377,1.841081,1.960351,171608
1420416000,1.959238,2.200723,1.635037,1.716774,230002
1421020800,1.718508,1.799796,1.115979,1.335048,822133
1421625600,1.334731,2.327941,1.280185,2.248257,335360
1422230400,2.248169,2.562869,1.672009,1.807184,591612
1422835200,1.806706,1.968443,1.66767,1.784962,314713
1423440000,1.786397,2.0441,1.681342,1.850983,369771
1424044800,1.846746,1.905767,1.774374,1.798251,247633
1424649600,1.798251,1.994733,1.778442,1.918606,210215
1425254400,1.919118,2.034359,1.855523,1.905614,364896
1425859200,1.905545,2.108073,1.896183,2.025066,268811.31982592
1426464000,2.023725,2.07063,1.658662,1.798618,262467
1427068800,1.797146,1.816708,1.598682,1.65655,250372
1427673600,1.657642,1.733867,1.612943,1.711787,168352
1428278400,1.71343,1.716848,1.447589,1.470572,162027
1428883200,1.470572,1.490238,1.326205,1.385459,204035
1429488000,1.38577,1.485187,1.304283,1.33116,164571
1430092800,1.331221,1.470277,1.319907,1.435828,142183
1430697600,1.436544,1.522981,1.365444,1.442339,193346
1431302400,1.442758,1.489551,1.411742,1.451123,103867
1431907200,1.451676,1.900046,1.417224,1.828337,88615
1432512000,1.828337,1.871224,1.609682,1.625247,70548
1433116800,1.664896,1.787877,1.578489,1.731785,122252
1433721600,1.732018,2.078812,1.731708,1.996923,101739
1434326400,1.996581,3.208389,1.995739,3.01534,203217
1434931200,3.01534,3.298929,2.694305,3.296278,99704
1435536000,3.296278,4.912766,3.049814,4.89441,193132
1436140800,4.89189,9.141758,3.735476,5.30643,328517
1436745600,5.30643,5.321098,3.331957,3.780397,222439
1437350400,3.780397,4.906022,3.698999,4.662463,88877
1437955200,4.662304,5.163245,3.839325,4.168391,107208
1438560000,4.168391,4.469122,3.821682,3.910373,119723
1439164800,3.911993,4.219227,3.856562,3.994039,108115
1439769600,3.994039,4.205019,2.498494,3.400892,252928
1440374400,3.394493,3.401306,2.583195,2.855878,287110
1440979200,2.855878,3.165884,2.582602,3.066825,73610
1441584000,3.066952,3.148481,2.764732,2.819028,84202
1442188800,2.820859,3.026479,2.769557,2.864129,60622
1442793600,2.864005,2.967779,2.780655,2.878572,73686
1443398400,2.878572,3.204505,2.878572,3.033315,46243
1444003200,3.033315,3.179896,2.983073,3.163261,61127
1444608000,3.162368,3.238987,2.97799,3.062482,126760
1445212800,3.065718,3.210052,3.02298,3.081143,138328
1445817600,3.080169,4.245832,2.985839,4.02372,266401
1446422400,4.02372,5.495112,3.36489,3.439801,848133
1447027200,3.443663,3.467679,2.860065,3.073085,385118.14688585
1447632000,3.073181,3.30133,2.991587,3.140043,139302.08177668
1448236800,3.140043,3.807344,3.058692,3.704083,203479.23365584
1448841600,3.703588,3.778013,3.282584,3.459974,274138.74579218
1449446400,3.462454,4.072214,3.409393,3.62006,355820.92337008
1450051200,3.616301,3.866795,3.463554,3.538101,249895.95525746
1450656000,3.538101,3.722334,3.320644,3.477172,239340.8337904
1451260800,3.473055,3.550454,3.366722,3.476034,131173.51858067
1451865600,3.477981,3.654116,3.42435,3.556434,144046.01328874
