time,open,high,low,close,Volume
1254096000,0.00076392,0.00120045,0.00076392,0.00115338,0
1255305600,0.00110205,0.00128808,0.00110205,0.00128808,0
1256515200,0.00126622,0.00130618,0.00121911,0.00126048,0
1257724800,0.00126048,0.00135534,0.00105922,0.00105922,0
1258934400,0.00100038,0.00100038,0.00073284,0.00073284,0
1260144000,0.00071822,0.00071822,0.00061337,0.0006271,0
1261353600,0.0006271,0.00071822,0.0006271,0.00071822,0
1262563200,0.00071822,0.00283078,0.00071822,0.00280002,0
1263772800,0.00294594,0.0033661,0.00273583,0.00329826,0
1264982400,0.00329674,0.00405351,0.00329674,0.00405351,0
1266192000,0.00414731,0.00529801,0.00414731,0.00529801,0
1267401600,0.00539695,0.00547226,0.00539695,0.00547226,0
1271030400,0.003,0.003,0.003,0.003,0
1272240000,0.003,0.0043,0.003,0.0035,0
1273449600,0.0039,0.0049,0.0039,0.0045,0
1274659200,0.0048,0.0048,0.0045,0.0045,0
1275868800,0.0046,0.005,0.0045,0.005,0
1277078400,0.005,0.0068,0.0044,0.0068,0
1278288000,0.0055,0.0925,0.0055,0.08584,95.01
1279497600,0.0909,0.09307,0.05,0.0611,34364.87
1280707200,0.0625,0.07541,0.057,0.06529,71687.336
1281916800,0.06319,0.0769,0.0612,0.064,98370.394
1283126400,0.0646,0.069,0.03211,0.0615,98976.649
1284336000,0.062,0.175,0.05761,0.062,117684.389
1285545600,0.06205,0.1301,0.01,0.0965,587647.577
1286755200,0.091,0.19,0.065,0.11501,335128.227
1287964800,0.09009,0.5,0.09009,0.34,497263.198
1289174400,0.3459,0.37,0.14,0.27675,411418.694
1290384000,0.27679,0.289,0.19,0.19,215289.688
1291593600,0.225,0.255,0.1701,0.2401,100654.482
1292803200,0.2401,0.301,0.24,0.29997,105830.604
1294012800,0.29,0.45,0.289,0.38679,151157.379
1295222400,0.38679,0.48,0.305,0.4799,154901.606
1296432000,0.47981,1.1,0.47,1.05,282119.733
1297641600,1.04,1.085,0.78009,0.89,144043.413
1298851200,0.89009,0.97,0.81,0.89249,103041.794
1300060800,0.89249,0.905,0.70999,0.822,118035.656
1301270400,0.82,0.85,0.5619,0.7369,132583.597
1302480000,0.73752,1.95,0.7103,1.6311,469226.079
1303689600,1.631,4.14996,1.52109,3.8659,469458.736
1304899200,3.8696,8.9,3.6905,6.6901,518489.749
1306108800,6.6901,18.998,6.68999,16.7,481160.749
1307318400,16.7,31.9099,10.25,17.51,1003979.508
1308528000,16.45001,18,15,15.44049,181385.22562078
1309737600,15.4407,16.5,11,13.16,574609.04913587
1310947200,13.16,14.8999,12.51,13.35,407616.738235
1312156800,13.3503,13.5501,5.742,10.7957,788741.9716455
1313366400,10.7921,11.89,7.642,9.07011,379181.76636414
1314576000,9.07021,9.27027,4.18,5.86435,708932.3302418
1315785600,5.94,6.795,4.44,5.33,663693.29817193
1316995200,5.32999,5.4,3.7819,4.10288,481334.97807763
1318204800,4.1,4.45,2.0401,3.17,921605.26520425
1319414400,3.127,3.82717,2.44034,2.95959,699697.64964885
1320624000,2.95913,3.21,1.994,2.2,1121575.293635
1321833600,2.2,3.14,2.17,2.82809,987990.25053085
1323043200,2.82806,3.38,2.7807,3.193,633728.03211202
1324252800,3.193,5.4999,3.18933,5.26766,1033827.75947822
1325462400,5.26346,7.22,4.65,7.00177,1594012.94164335
1326672000,7.00177,7.18888,4.64,5.3809,1416148.38488264
1327881600,5.38,6.2,5.3,5.51468,1142735.30412681
1329091200,5.51468,5.72,3.878,4.922,1668154.14219288
1330300800,4.922,5.07,4.51,4.91,710305.67099877
1331510400,4.90891,5.45,4.3,4.55001,872511.07983797
1332720000,4.55001,5.08,4.49,4.79252,754936.40574072
1333929600,4.7899,5.48,4.73001,5.20352,785804.68201972
1335139200,5.20406,5.21799,4.84634,5.04991,658651.0825632
1336348800,5.05,5.15,4.801,5.09002,608752.18893751
1337558400,5.1,5.279,5.015,5.2051,458310.84650625
1338768000,5.21999,6.599,5.18001,6.16382,743369.32847474
1339977600,6.2,6.8,6.03,6.62898,581244.82732929
1341187200,6.6001,7.9,6.4,7.62101,628324.46833646
1342396800,7.62277,9.7,7.3215,8.71027,1131783.23562164
1343606400,8.71027,12,8.7,11.62399,840278.07874493
1344816000,11.6239,15.4,7.58,10.61,1346915.34016154
1346025600,10.59,12.14999,9.66,11.02,690180.33843758
1347235200,11.02,12.68666,10.78,12.19331,509028.77932022
1348444800,12.151,13.0899,11.7,11.80001,408876.79179828
1349654400,11.89901,12.35,10.621,11.63107,416936.19063412
1350864000,11.63108,12,9.74,10.80011,580292.38475946
1352073600,10.80011,11.832,10.61,11.65152,352699.49615698
1353283200,11.66468,12.68778,11.57297,12.50004,371869.91895951
1354492800,12.50202,13.90119,12.42,13.30002,261119.97741154
1355702400,13.3,13.72,12.74919,13.45001,349977.65907113
1356912000,13.39112,13.561,13.16123,13.45395,143168.03362946
1357516800,13.51394,15.985,13.404,15.7,555750.63996103
1358726400,15.7,21.43,15.38613,20.59,935977.20626295
1359936000,20.59999,27.5969,19.85502,26.8146,828128.88035309
1361145600,26.89999,34.9,26.36268,34.49999,680494.84421067
1362355200,34.49999,49.099,33.3,47.4,905642.20748819
1363564800,47.4,95.7,47.12009,93.03001,1120127.95370322
1364774400,93.25,266,54.25,89.99999,2049736.52282137
1365984000,90,166.43438,50.01,134.44444,2545016.88673088
1367193600,134.4,149.08,79,114.82002,1516967.37277919
1368403200,114.82,136,103.01847,133.5,558577.04258902
1369612800,133.5,135.47,88,100.43743,558247.02573086
1370822400,101,115.005,95,108.2,374911.20853518
1372032000,107.60002,109.98,65.42448,76.5,620335
1373241600,76.5,104.17188,72.46,91.998,500833
1374451200,91.98,111.65202,89.8,105.12,285032
1375660800,105.12,115,100.95969,113.38,211056
1376870400,113.395,148.7,111.771,146.01003,322160.84541543
1378080000,146.01005,148.90893,121.25,138.3002,246239
1379289600,138.4,145.81,131,143.88402,146092
1380499200,143.89402,147.65,109.7,147.53,261336.05358264
1381708800,147.53,233.4,144.20004,207.0001,441701.98879194
1382918400,207.5,395,200.42,336.33101,410502
1384128000,341.0302,900.97998,321.41,795,547817
1385337600,795.00166,1242,576,804.00001,617018
1386547200,810.98,1067.99999,455,629,412106.17379399
1387756800,629,939.8,617.61,910,145331.37630305
1388966400,909.71,995,765,835.9,163983.99155296
1390176000,836,844.99,726.5,814,89914.04838483
1391385600,812.05,829,450.13,625,292213.91335074
1392595200,625,664,400,565.37191,318211.62290636
1393804800,566,719.25,563,633,162747.70036557
1395014400,632,632.5,436.2,460.9999,183292.53911606
1396224000,460.6,513.9,340,418,233749.04098455
1397433600,417.6,547,406.4,429.99,192412
1398643200,429.99,463.53,419.4,437.97,95001
1399852800,437.45,586,431.8,573.99,114105
1401062400,574.55,685,551,658.7,208800
1402272000,658.7,672,522.15,603.4,160949
1403481600,603.39,665,560.53,637.38,98165
1404691200,637.76,642.79,608.43,624,49716
1405900800,624,624.95,561.47,585.71,76276
1407110400,587,598.88,451,497.4,150143
1408320000,497.57,534.89,443,477.81,196393
1409529600,477.84,497.24,463,476.5,93067
1410739200,477.12,480.3,365,376.7,257757
1411948800,375.93,398.7,275,378.05,442641
1413158400,378.05,414.42,337.65,353.01,323247
1414368000,353.07,364.12,315.54,362.61,308080.88168276
1415577600,362.6,475,340,368.25,608095
1416787200,368,396.87,355.51,376.02,244783
1417996800,376.29,378.34,302.32,320.79,319872
1419206400,321.19,337.79,255.03,264.19,262824
1420416000,264.04,303.33,166.45,211.03,1047885
1421625600,210.98,315,203.7,226.92,924206
1422835200,226.86,268.54,210.12,235.88,681851
1424044800,235.34,266.91,228.62,262.4,434700
1425254400,262.47,303.96,258.98,286.9,629444.54200634
1426464000,286.71,295.2,235.7,242.74,506221
1427673600,242.9,262.45,230.75,236.38,323329
1428883200,236.21,238.99,213.92,219.7,356509
1430092800,219.73,249.22,218.24,240.73,338841
1431302400,240.8,245.49,229,240.96,177679
1432512000,240.92,241.12,219.71,223.26,184005
1433721600,223.29,259.1,223.25,244.25,295498
1434931200,244.25,275.88,239,271.96,285222
1436140800,271.82,316.23,262.61,275.04,548277
1437350400,275.04,298.93,273.5,282.44,192910
1438560000,282.44,287.05,256.5,259.9,218635
1439769600,259.9,262.37,162,229.99,452433
1440979200,229.99,248.48,225.31,230.96,158865
1442188800,231.11,237.7,224.25,233.37,120372
1443398400,233.37,249.01,233.37,247.99,102829
1444608000,247.92,295.99,244,284.79,255399
1445817600,284.7,504,282.25,374.1,1109440
1447027200,374.52,388.99,300.28,324.66,517870.24887981
1448236800,324.66,407.57,315.55,390.6,471536.69914022
1449446400,390.88,475.04,384.53,442.62,602306.19832819
1450656000,442.62,460.05,405.5,428.39,366129.53729793
1451865600,428.63,465,352.5,382.02,442338.02280208
1453075200,382.11,428,360.03,365.52,412522.11262653
1454284800,365.58,408.66,363.23,408.3,284364.62080648
1455494400,408.3,451.6,395.23,434.45,338547.17333677
1456704000,434.46,445,389,411.87,254096.94471052
1457913600,412,431,403.01,427.36,133811.19095481
1459123200,427.34,427.99,406.51,421.32,111478.69413085
