time,open,high,low,close,Range Filter,High Target,Low Target,upward,BBWP,Extreme Hi,Extreme Lo,MA 1,MA 2
1254355200,0.00076392,0.00128808,0.00076392,0.00124662,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1257033600,0.00121911,0.00135534,0.00082384,0.00082384,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1259625600,0.0008106,0.0008106,0.00061337,0.00068879,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1262304000,0.00071822,0.0033661,0.00071822,0.00329826,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1264982400,0.00329674,0.00529801,0.00329674,0.00529801,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1267401600,0.00539695,0.00547226,0.00539695,0.00547226,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1270080000,0.003,0.003,0.003,0.003,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1272672000,0.003,0.0049,0.003,0.0045,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1275350400,0.0046,0.0058,0.0044,0.0054,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1277942400,0.0055,0.09307,0.0055,0.06785,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1280620800,0.061,0.0769,0.03211,0.06,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1283299200,0.062,0.175,0.05761,0.0619,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1285891200,0.06189,0.199,0.01,0.1925,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
1288569600,0.1925,0.5,0.125,0.2082,NaN,NaN,NaN,0,92.3076923076923,NaN,NaN,NaN,NaN
1291161600,0.2095,0.301,0.1701,0.3,NaN,NaN,NaN,0,85.71428571428571,NaN,NaN,NaN,NaN
1293840000,0.292,0.95,0.289,0.55,NaN,NaN,NaN,0,86.66666666666667,NaN,NaN,NaN,NaN
1296518400,0.5451,1.1,0.52011,0.86,NaN,NaN,NaN,0,87.5,NaN,NaN,NaN,NaN
1298937600,0.8601,0.97,0.70999,0.78461,NaN,NaN,NaN,0,70.58823529411765,NaN,NaN,84.55537599655247,NaN
1301616000,0.77701,4.14996,0.5619,3.5,NaN,NaN,NaN,0,100,100,NaN,86.093837535014,NaN
1304208000,3.5,9.4998,2.5,8.741,NaN,NaN,NaN,0,100,100,NaN,88.95098039215686,NaN
1306886400,8.741,31.9099,8.3,16.10098,NaN,NaN,NaN,0,95,NaN,NaN,90.61764705882354,NaN
1309478400,16.10098,16.74,11,13.35,NaN,NaN,NaN,0,80.95238095238095,NaN,NaN,89.30812324929971,NaN
1312156800,13.3503,13.5501,5.742,8.19951,NaN,NaN,NaN,0,59.09090909090909,NaN,NaN,87.008658008658,NaN
1314835200,8.19951,8.7138,4.18,5.14009,NaN,NaN,NaN,0,52.17391304347826,NaN,NaN,77.44344061735366,NaN
1317427200,5.16699,5.24919,2.0401,3.24801,NaN,NaN,NaN,0,50,NaN,NaN,67.44344061735364,NaN
1320105600,3.25617,3.35,1.994,2.9701,NaN,NaN,NaN,0,48,NaN,NaN,58.04344061735365,NaN
1322697600,2.99,4.995,2.61,4.72202,NaN,NaN,NaN,0,46.15384615384615,NaN,NaN,51.0837336576467,NaN
1325376000,4.70785,7.22,4.615,5.48379,NaN,NaN,NaN,0,44.44444444444444,NaN,NaN,48.15444072835376,NaN
1328054400,5.53423,6.2,3.878,4.86001,NaN,NaN,NaN,0,42.857142857142854,NaN,NaN,46.29108669108668,NaN
1330560000,4.86,5.45,4.3,4.90873,NaN,NaN,NaN,0,41.37931034482759,NaN,NaN,44.5669487600522,NaN
1333238400,4.88002,5.48,4.62,4.9491,NaN,NaN,NaN,0,40,NaN,NaN,42.9669487600522,NaN
1335830400,4.9491,5.2,4.801,5.18011,NaN,NaN,NaN,0,38.70967741935484,NaN,NaN,41.47811501315393,NaN
1338508800,5.19957,6.8,5.18001,6.68999,NaN,NaN,NaN,0,40.625,NaN,NaN,40.71422612426504,NaN
